parse_text,parse_name
['httpstcotXitoGoah'],['GorgeousSaham']
"['Buat', 'yang', 'suka', 'nyari', 'dividen', 'saham', 'nih', 'mimin', 'kasih', 'tips', 'sedikit', 'httpstcoIVFmVNMfBy']",['Stockbit']
"['Sahamfess', 'semua', 'sekuritas', 'ada', 'fee', 'transaksinya', 'httpstcosNEYJbpxz']",['Maitsaham']
['httpstcoIObgQeM'],['GorgeousSaham']
"['Bitcoin', 'Crypto', 'Better', 'BBCA', 'Saham', 'httpstcoExyrSjmUq']",['ardajiter']
"['BENM', 'ORTA', 'SAHAM', 'GELYOR', 'httpstcolhRBahNYP']",['gelismevar']
"['Ph', 'punya', 'pentaksub', 'is', 'so', 'disgusting', 'before', 'anwar', 'menang', 'azam', 'baki', 'is', 'the', 'most', 'hated', 'person', 'ever', 'cerita', 'saham', 'adik', 'dia', 'dijaja', 'almost', 'everyday', 'Now']",['kimimpossibler']
"['Bursa', 'saham', 'melonjak', 'sejak', 'Jerung', 'didakwa', 'Its', 'a', 'good', 'sign', 'httpstcocKbaBqcMIS']",['ladybugg']
"['Fahad', 'fahadalamri', 'khalafAlkhalaf', 'KhaledEzz', 'jassimmohd', 'httpstcodpzanDZw', 'httpstcoYrQMCZZ']",['SahamTunes']
"['Joki', 'bab', 'amp', 'kuantitatif', 'yang', 'paham', 'tentang', 'saham', 'syariah', 'zonauang']",['chewnil']
"['Terpantau', 'saham', 'jypent', 'hari', 'merah', 'terus', 'Apalagi', 'tanggal', 'itu', 'terjun', 'abis', 'Jyp', 'fandom', 'bener', 'bener', 'serius', 'soal', 'boikot', 'ini', 'i', 'guess', 'Thank', 'you', 'so', 'much', 'untuk', 'partisipasinya', 'fams', 'aku', 'lihat', 'jyp', 'juga', 'mulai', 'aware', 'soal', 'boycotting', 'ini', 'meski', 'ada', 'kecolongan', 'kemarin', 'httpstcoTPdkMWPXp']",['smollrabbits']
"['Elzm', 'saham', 'chiki', 'ball', 'httpstcoRPMWQRETgi']",['RidwanRijaludin']
"['profesorsaham', 'Eh', 'engga', 'deh', 'httpstcoWuVWsSkX']",['bynmasca']
"['Foolish', 'one', 'stop', 'bilang', 'gapunya', 'duit', 'tapi', 'portofolio', 'saham', 'sampe', 'digit']",['Fayysuf']
"['Akhirakhir', 'ini', 'banyak', 'yang', 'meyakini', 'Apple', 'Store', 'segera', 'buka', 'di', 'Indonesia', 'Saya', 'pesimistis', 'hal', 'itu', 'terjadi', 'Mengapa', 'Apple', 'takkan', 'mau', 'menggandeng', 'mitra', 'lokal', 'yang', 'punya', 'porsi', 'saham', 'minimal', 'Andai', 'mau', 'pun', 'pasti', 'ada', 'yang', 'berusaha', 'menjegal', 'Apple', 'Tahu', 'dong', 'siapa']",['herrysw']
"['Mungkin', 'kita', 'rasa', 'Kering', 'Poket', 'bila', 'bersedekah', 'tapi', 'tahukah', 'anda', 'kelebihan', 'sedekah', 'Memanjangkan', 'UMUR', 'Mengundang', 'datangnya', 'REZEKI', 'Menolak', 'BALA', 'Menyembuhkan', 'PENYAKIT', 'Menambahkan', 'PAHALA', 'YAKINLAH', 'Duit', 'itu', 'saham', 'kita', 'di', 'Akhirat', 'Teruskan', 'BERSEDEKAH']",['jentikhati']
"['ngeri', 'bgt', 'klo', 'hybe', 'ngandelin', 'duit', 'idol', 'nya', 'bisa', 'saham', 'hybe', 'dijual', 'ke', 'nagaswara', 'kaya', 'yg', 'dilakuin', 'agency', 'nya', 'ke', 'hybe']",['jmazeey']
"['Waaau', 'Cerdik', 'nda', 'terima', 'uang', 'cash', 'tp', 'kalau', 'saham', 'okelah', 'Sepertinya', 'ada', 'tim', 'khusus', 'yg', 'mengelola', 'saham', 'dan', 'aset', 'kekayaannya', 'httpstcoVBeZfOMs']",['embah']
