all_slang,tokens
,[]
yang,['yang']
suka,['suka']
dividen,['dividen']
saham,['saham']
nih,['nih']
kasih,['kasih']
sedikit,['sedikit']
semua,['semua']
sekuritas,['sekuritas']
ada,['ada']
,[]
,[]
,[]
punya,['punya']
menang,['menang']
azam,['azam']
baki,['baki']
person,['person']
cerita,['cerita']
saham,['saham']
adik,['adik']
dia,['dia']
saham,['saham']
melonjak,['melonjak']
sejak,['sejak']
,[]
bab,['bab']
kuantitatif,['kuantitatif']
yang,['yang']
paham,['paham']
tentang,['tentang']
saham,['saham']
syariah,['syariah']
saham,['saham']
hari,['hari']
merah,['merah']
terus,['terus']
tanggal,['tanggal']
itu,['itu']
terjun,['terjun']
abis,['abis']
serius,['serius']
soal,['soal']
boikot,['boikot']
ini,['ini']
untuk,['untuk']
aku,['aku']
lihat,['lihat']
juga,['juga']
mulai,['mulai']
soal,['soal']
ini,['ini']
meski,['meski']
ada,['ada']
kecolongan,['kecolongan']
kemarin,['kemarin']
saham,['saham']
deh,['deh']
stop,['stop']
bilang,['bilang']
duit,['duit']
tapi,['tapi']
portofolio,['portofolio']
saham,['saham']
digit,['digit']
ini,['ini']
banyak,['banyak']
yang,['yang']
meyakini,['meyakini']
segera,['segera']
buka,['buka']
di,['di']
Indonesia,['Indonesia']
pesimistis,['pesimistis']
hal,['hal']
itu,['itu']
terjadi,['terjadi']
mau,['mau']
menggandeng,['menggandeng']
mitra,['mitra']
lokal,['lokal']
yang,['yang']
punya,['punya']
porsi,['porsi']
saham,['saham']
minimal,['minimal']
mau,['mau']
pun,['pun']
pasti,['pasti']
ada,['ada']
yang,['yang']
berusaha,['berusaha']
dong,['dong']
siapa,['siapa']
kita,['kita']
rasa,['rasa']
bila,['bila']
bersedekah,['bersedekah']
tapi,['tapi']
kelebihan,['kelebihan']
sedekah,['sedekah']
itu,['itu']
saham,['saham']
kita,['kita']
di,['di']
ngeri,['ngeri']
duit,['duit']
bisa,['bisa']
saham,['saham']
dijual,['dijual']
ke,['ke']
kaya,['kaya']
ke,['ke']
terima,['terima']
uang,['uang']
kalau,['kalau']
saham,['saham']
ada,['ada']
tim,['tim']
khusus,['khusus']
saham,['saham']
dan,['dan']
aset,['aset']
liat,['liat']
saham,['saham']
anjlok,['anjlok']
jadi,['jadi']
merah,['merah']
saham,['saham']
lain,['lain']
tetap,['tetap']
stabil,['stabil']
bisa,['bisa']
stan,['stan']
sebaik,['sebaik']
Allah,['Allah']
sisi,['sisi']
mereka,['mereka']
pure,['pure']
dengan,['dengan']
meskipun,['meskipun']
ini,['ini']
kerja,['kerja']
sama,['sama']
bahwa,['bahwa']
para,['para']
pihak,['pihak']
telah,['telah']
menyelesaikan,['menyelesaikan']
transaksi,['transaksi']
pada,['pada']
Januari,['Januari']
telah,['telah']
berhasil,['berhasil']
positif,['positif']
pada,['pada']
melampaui,['melampaui']
target,['target']
perusahaan,['perusahaan']
saat,['saat']
ini,['ini']
di,['di']
utang,['utang']
negara,['negara']
kamu,['kamu']
konservatif,['konservatif']
maka,['maka']
taruh,['taruh']
di,['di']
emas,['emas']
yang,['yang']
banyak,['banyak']
kalau,['kalau']
agresif,['agresif']
taruh,['taruh']
di,['di']
saham,['saham']
hotel,['hotel']
punya,['punya']
saham,['saham']
cuma,['cuma']
saham,['saham']
merah,['merah']
selama,['selama']
masa,['masa']
satu,['satu']
cara,['cara']
kita,['kita']
tahu,['tahu']
kalau,['kalau']
perusahaan,['perusahaan']
lagi,['lagi']
itu,['itu']
ya,['ya']
liat,['liat']
saham,['saham']
mereka,['mereka']
apa,['apa']
merah,['merah']
merah,['merah']
berarti,['berarti']
arus,['arus']
mereka,['mereka']
tersendat,['tersendat']
makin,['makin']
menarik,['menarik']
nih,['nih']
mencermati,['mencermati']
pergerakan,['pergerakan']
pasar,['pasar']
saham,['saham']
di,['di']
tahun,['tahun']
,[]
dia,['dia']
bapak,['bapak']
punya,['punya']
saham,['saham']
di,['di']
punya,['punya']
tapi,['tapi']
,[]
di,['di']
tragis,['tragis']
bursa,['bursa']
saham,['saham']
notabene,['notabene']
representasi,['representasi']
saham,['saham']
dari,['dari']
juta,['juta']
juta,['juta']
hancur,['hancur']
saham,['saham']
kolaps,['kolaps']
lama,['lama']
bisa,['bisa']
marah,['marah']
sama,['sama']
ada,['ada']
visi,['visi']
beli,['beli']
saham,['saham']
oleh,['oleh']
mentor,['mentor']
saham,['saham']
di,['di']
itu,['itu']
beli,['beli']
oleh,['oleh']
mentor,['mentor']
saya,['saya']
di,['di']
itu,['itu']
mentor,['mentor']
memiliki,['memiliki']
yang,['yang']
tidak,['tidak']
cari,['cari']
berbagai,['berbagai']
sudut,['sudut']
