Pertanyaan,Jawaban
Berapa banyak orang dewasa di Amerika yang diperkirakan terpengaruh oleh penyakit mental?,"Diperkirakan bahwa penyakit mental mempengaruhi 1 dari 5 orang dewasa di Amerika, dan bahwa 1 dari 24 orang dewasa memiliki penyakit mental yang serius. Penyakit mental tidak membeda -bedakan; Ini dapat mempengaruhi siapa pun, terlepas dari jenis kelamin, usia, pendapatan, status sosial, etnis, agama, orientasi seksual, atau latar belakang.
Meskipun penyakit mental dapat mempengaruhi siapa pun, kondisi tertentu mungkin lebih umum pada populasi yang berbeda. Misalnya, gangguan makan cenderung terjadi lebih sering pada wanita, sementara gangguan seperti defisit perhatian/gangguan hiperaktif lebih lazim pada anak -anak.
Selain itu, segala usia rentan, tetapi yang muda dan yang tua sangat rentan. Penyakit mental biasanya mengejutkan individu dalam hidup mereka, dengan 75 persen kondisi kesehatan mental berkembang pada usia 24 tahun. Hal ini membuat identifikasi dan pengobatan gangguan mental sangat sulit, karena kepribadian normal dan perubahan perilaku remaja dapat menutupi gejala -gejala gejala dari kondisi kesehatan mental.
Orang tua dan pengasuh harus menyadari fakta ini, dan memperhatikan perubahan dalam suasana hati, kepribadian, kebiasaan pribadi, dan penarikan sosial anak mereka. Ketika ini terjadi pada anak -anak di bawah 18 tahun, mereka disebut sebagai gangguan emosional yang serius (SED)."
apa pengertian gangguan kepribadian?,"Gangguan kepribadian adalah pola pikiran, perasaan, dan perilaku yang bertahan lama dan menyebabkan semacam masalah atau kesusahan.
 Gangguan kepribadian skizoid atau SPD mempengaruhi interaksi dan hubungan sosial. Orang dengan SPD mungkin mengalami kesulitan berkaitan dengan orang lain dan menunjukkan emosi. Mereka dapat menghindari hubungan yang erat dan lebih suka menghabiskan waktu sendirian, tampak jauh bahkan bagi anggota keluarga dekat. Banyak orang tidak menanggapi emosi yang kuat seperti kemarahan, bahkan ketika orang lain mencoba memprovokasi mereka. Di luar, orang dengan SPD mungkin tampak dingin atau menyendiri, menunjukkan sedikit emosi.
 Meskipun mereka memiliki nama yang sama, gangguan kepribadian skizoid tidak sama dengan skizofrenia.
 Gangguan Kepribadian Schizoid diyakini relatif tidak umum. Sementara beberapa orang dengan SPD mungkin melihatnya sebagai bagian dari siapa mereka, orang lain mungkin merasakan banyak kesusahan, terutama di sekitar interaksi sosial. Beberapa obat dapat membantu orang mengelola gejala dan psikoterapi dapat membantu orang membangun keterampilan baru dan meningkatkan hubungan.
 Untuk mencari bantuan untuk gangguan kepribadian skizoid, bicaralah dengan dokter keluarga Anda, cari psikolog melalui Asosiasi Psikologis BC, atau hubungi 811 untuk berbicara dengan Navigator BC Healthlink."
Sebutkan perbedaan mendasar antara kecemasan dan stres?,"Stres dan kecemasan sering digunakan secara bergantian, dan ada tumpang tindih antara stres dan kecemasan. Stres terkait dengan respons 'pertarungan, penerbangan, atau pembekuan' yang sama sebagai kecemasan, dan sensasi fisik kecemasan dan stres mungkin sangat mirip.
 Namun, penyebab stres dan kecemasan biasanya berbeda. Stres berfokus terutama pada tekanan eksternal pada kami yang kami temukan sulit untuk diatasi. Ketika kita stres, kita biasanya tahu apa yang kita stres, dan gejala stres biasanya hilang setelah situasi stres berakhir.
 Kecemasan, di sisi lain, tidak selalu mudah untuk diketahui. Kecemasan berfokus pada kekhawatiran atau ketakutan tentang hal -hal yang dapat mengancam kita, serta kecemasan tentang kecemasan itu sendiri. Stres dan kecemasan keduanya adalah bagian dari menjadi manusia, tetapi keduanya bisa menjadi masalah jika mereka bertahan lama atau berdampak pada kesejahteraan atau kehidupan sehari-hari kita."
Di mana saya bisa menemukan informasi terkait uji klinis?,"Lembar info kami tentang gangguan mood, gangguan bipolar, dan depresi menawarkan informasi tentang masalah suasana hati, pilihan perawatan, dan sumber daya di BC. Kami juga menawarkan apa itu depresi? Ini adalah buklet dengan audio dalam bahasa sederhana untuk pembaca literasi yang lebih rendah. Anda dapat mengambil tes swadaya skrining untuk depresi (dan masalah kesehatan mental lainnya). Alat Depresi Dewasa juga menyaring tanda -tanda gangguan bipolar.
 Jika Anda ingin melampaui dasar -dasarnya, seri Depresi Pengelolaan kami dapat membantu Anda menangani diagnosis depresi, bekerja dengan dokter, dan mencegah kekambuhan depresi. Anda juga akan menemukan banyak pengalaman dan perspektif seputar depresi - membaca kisah -kisah pribadi dapat membantu Anda merasa kurang sendirian."
Apa ciri-ciri yang mencolok dari gangguan kepribadian skizoid?,"Gangguan kepribadian adalah pola pikiran, perasaan, dan perilaku yang bertahan lama dan menyebabkan semacam masalah atau kesusahan.
 Gangguan kepribadian skizoid atau SPD mempengaruhi interaksi dan hubungan sosial. Orang dengan SPD mungkin mengalami kesulitan berkaitan dengan orang lain dan menunjukkan emosi. Mereka dapat menghindari hubungan yang erat dan lebih suka menghabiskan waktu sendirian, tampak jauh bahkan bagi anggota keluarga dekat. Banyak orang tidak menanggapi emosi yang kuat seperti kemarahan, bahkan ketika orang lain mencoba memprovokasi mereka. Di luar, orang dengan SPD mungkin tampak dingin atau menyendiri, menunjukkan sedikit emosi.
 Meskipun mereka memiliki nama yang sama, gangguan kepribadian skizoid tidak sama dengan skizofrenia.
 Gangguan Kepribadian Schizoid diyakini relatif tidak umum. Sementara beberapa orang dengan SPD mungkin melihatnya sebagai bagian dari siapa mereka, orang lain mungkin merasakan banyak kesusahan, terutama di sekitar interaksi sosial. Beberapa obat dapat membantu orang mengelola gejala dan psikoterapi dapat membantu orang membangun keterampilan baru dan meningkatkan hubungan.
 Untuk mencari bantuan untuk gangguan kepribadian skizoid, bicaralah dengan dokter keluarga Anda, cari psikolog melalui Asosiasi Psikologis BC, atau hubungi 811 untuk berbicara dengan Navigator BC Healthlink."
Bagaimana pendapat Anda tentang mencari pendapat independen dari seorang psikiater lain pada saat ini?,"Seorang psikiater adalah dokter spesialis. Di BC, Anda perlu meminta rujukan kepada dokter Anda. Jika Anda tidak menemui dokter keluarga biasa, Anda dapat meminta dokter di klinik walk-in untuk rujukan.
 Dalam beberapa kasus, Anda mungkin dapat ""merujuk diri"" atau membuat janji dengan program kesehatan mental sendiri, tetapi itu mungkin tidak membuat Anda mengakses psikiater. Hubungi pusat kesehatan mental setempat Anda untuk melihat apa yang tersedia di daerah Anda. Anda dapat mencari pusat kesehatan mental di www.gov.bc.ca/mentalhealth. Jika Anda memerlukan bantuan menemukan pusat kesehatan mental lokal Anda, hubungi HealthLinkBC di 811 atau kunjungi www.healthlinkbc.ca dan gunakan alat layanan kesehatan."
sebutkan beberapa jenis profesional kesehatan mental?,"Ada banyak jenis profesional kesehatan mental. Variasi penyedia dan layanan mereka mungkin membingungkan. Masing -masing memiliki berbagai tingkat pendidikan, pelatihan, dan mungkin memiliki bidang keahlian yang berbeda. Menemukan profesional yang paling sesuai dengan kebutuhan Anda mungkin memerlukan penelitian."
Apa yang mungkin menjadi penyebab timbulnya masalah kesehatan mental?,"Tantangan atau masalah dengan kesehatan mental Anda dapat muncul dari masalah psikologis, biologis, dan sosial, serta peristiwa kehidupan."
Apakah ada jenis terapi medik yang efektif untuk menanggulangi kondisi kesehatan mental?,"Seringkali lebih realistis dan bermanfaat untuk mengetahui apa yang membantu dengan masalah yang Anda hadapi. Berbicara, konseling, obat -obatan, persahabatan, olahraga, tidur nyenyak dan nutrisi, dan pekerjaan yang bermakna semuanya bisa membantu."
Apa saja tanda umum yang dapat dianggap sebagai ciri-ciri gangguan kesehatan mental pada orang dewasa?,"Sulit ketika seorang anak dewasa, saudara kandung, orang tua, teman, rekan kerja, atau orang penting lainnya berjuang atau berperilaku dengan cara yang menyebabkan kerusakan. Ini bisa menjadi situasi yang sulit - Anda ingin membantu, tetapi kebanyakan orang dewasa bertanggung jawab atas perawatan mereka sendiri.
 Ada dua poin penting untuk dipikirkan. Pertama, mendiagnosis kondisi kesehatan, terutama ketika pemeriksaan gejala sangat mudah secara online, bisa berbahaya. Diagnosis masih selalu diserahkan kepada para profesional yang dapat melihat keseluruhan gambar. Ingat juga, bahwa orang yang Anda sayangi mungkin memiliki gagasan yang sangat berbeda tentang apa yang menyebabkan kesulitan mereka dan apa dampak negatif pada kehidupan mereka. Kedua, kecuali dalam kasus yang jarang terjadi, orang yang dirawat perlu menjadi pemain aktif dalam pemulihan mereka sendiri untuk melanjutkan perawatan mereka, seperti halnya mereka untuk masalah kesehatan lainnya. Jika sebagian besar kasus, Anda tidak dapat melakukan pekerjaan ini sepenuhnya untuk mereka - dan mencoba melakukannya dapat merusak hubungan Anda.
 Jujurlah tentang kekhawatiran Anda, dampak yang Anda lihat khawatir Anda, dengarkan sudut pandang mereka dan bekerja sama untuk menemukan solusi yang bekerja untuk semua orang, bahkan jika itu berarti kompromi. Anda mungkin ingin menawarkan untuk pergi bersama mereka untuk membuat janji, mendorong mereka untuk melakukan tes swadaya online, atau melibatkan orang lain yang dekat dengan mereka yang mungkin sama-sama peduli dan mungkin memiliki pengaruh lebih besar dalam mendorong mereka untuk memperhatikan perubahan dan mencari bantuan . Karena Anda mungkin merasa frustrasi dan tidak berdaya, penting untuk mendapatkan perawatan dan dukungan untuk diri sendiri selama ini, terutama jika Anda sangat dekat dengan orang yang Anda khawatirkan.
 Dalam situasi yang serius, Undang -Undang Kesehatan Mental BC memungkinkan seseorang ditahan untuk jangka waktu tertentu untuk penilaian kejiwaan tanpa persetujuan mereka jika mereka berisiko melukai diri sendiri atau orang lain. Meskipun perlu dalam beberapa situasi untuk membuat seseorang perawatan yang mereka butuhkan, itu bisa menjadi traumatis bagi semua orang yang terlibat. Untuk lebih lanjut tentang Undang -Undang Kesehatan Mental BC, lihat Panduan untuk Undang -Undang Kesehatan Mental."
